level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	18	1	0	0	699	1573	4	29	-1	
4	1	18	1	1	0	699	1573	4	29	-1	
5	1	18	1	1	1	699	1573	4	29	54.419060	{
2	1	19	0	0	0	703	1639	5	61	-1	
3	1	19	1	0	0	703	1639	5	61	-1	
4	1	19	1	1	0	703	1639	5	61	-1	
5	1	19	1	1	1	703	1639	5	61	92.368896	|
2	1	20	0	0	0	926	1637	305	36	-1	
3	1	20	1	0	0	926	1637	305	36	-1	
4	1	20	1	1	0	926	1637	305	36	-1	
5	1	20	1	1	1	926	1642	135	31	59.169483	wamohettit
5	1	20	1	1	2	1068	1637	163	30	27.604248	wutthepwoei-
